18,68,138,48.336,136.49,49.068,57,254,1048,150.033,509.551,372.703
4,12,27,61.479,187.891,73.677,11,38,206,158.988,598.311,559.151
36,117,258,73.819,193.626,77.521,91,352,1774,186.864,584.521,532.858
14,53,101,61.457,175.913,59.81,39,162,664,167.065,537.894,393.372
173,581,1298,55.109,148.312,60.692,480,2176,11847,152.791,555.278,553.801
26,102,211,67.113,206.583,75.406,80,340,1758,206.33,688.926,627.921
16,61,120,53.908,188.709,53.593,56,234,1364,188.769,722.784,610.183
4,16,31,57.563,181.661,60.85,12,55,287,183.472,627.116,558.889
1,12,31,29.961,162.639,83.686,4,49,218,130.168,671.688,585.239
73,266,620,53.965,168.893,56.042,234,940,6162,173.502,596.576,556.781
36,141,331,47.81,148.997,63.684,113,493,2571,150.875,521.851,494.115
7,22,45,64.197,181.383,59.655,19,72,390,179.609,585.743,512.835
10,30,52,77.889,183.683,65.106,22,88,408,173.672,536.18,513.435
66,269,564,60.82,194.891,72.05,202,886,4234,186.514,641.621,540.97
34,135,230,62.06,191.92,60.591,87,435,1824,160.356,617.812,481.56
19,69,114,75.645,196.711,61.767,50,236,1067,201.838,672.779,577.894
12,59,86,51.188,184.927,52.405,47,210,822,194.089,658.914,499.65
17,67,125,52.574,146.669,47.98,61,264,1049,187.496,580.701,402.697
24,94,169,59.666,175.628,63.273,79,330,1262,193.519,614.114,472.993
6,24,51,55.913,182.557,58.813,18,87,473,165.458,667.566,544.405
26,86,226,53.721,159.763,65.199,82,344,2022,171.366,642.148,583.384
37,124,301,73.531,184.677,71.758,107,464,2637,210.427,689.414,627.54
57,200,444,64.189,182.904,70.502,172,724,3561,192.279,662.977,565.363
32,120,223,72.357,209.909,70.834,87,405,1947,195.399,706.784,617.306
10,48,91,37.756,139.583,53.524,38,175,609,147.25,502.384,357.169
31,124,213,63.358,197.596,60.101,97,406,1983,196.656,645.202,558.463
9,24,48,112.131,233.896,83.608,20,72,331,247.31,692.946,571.854
14,51,79,89.415,251.558,74.731,34,140,590,222.444,683.843,557.695
13,35,95,69.304,161.861,68.76,34,122,747,183.959,563.721,541.201
9,30,59,75.37,232.14,71.036,24,93,525,214.371,717.78,632.042
37,131,278,51.602,166.224,49.681,135,515,3448,187.738,650.646,617.177
14,48,90,77.317,226.758,80.058,37,128,558,206.727,607.794,496.692
87,323,727,55.929,158.409,59.004,305,1310,7093,194.95,643.389,575.879
39,145,273,56.608,165.397,52.474,111,494,2143,161.247,564.304,411.755
6,22,29,103.299,271.091,74.874,14,60,232,252.281,730.577,594.18
57,228,457,57.977,185.373,63.618,173,805,3893,175.182,654.017,542.037
17,70,109,56.766,170.327,51.525,49,239,929,160.402,582.308,438.116
17,69,131,58.382,178.349,57.936,51,252,1262,170.724,653.151,557.883
55,233,427,53.442,180.818,53.342,186,837,4256,180.594,648.47,531.38
6,32,53,66.171,255.947,77.024,19,96,416,221.236,760.744,603.798
