State,Year,Population.26+,Totals.Alcohol.Use Disorder Past Year.26+,Rates.Alcohol.Use Disorder Past Year.12-17,Totals.Alcohol.Use Past Month.26+,Rates.Alcohol.Use Past Month.26+,Totals.Tobacco.Cigarette Past Month.26+,Rates.Tobacco.Cigarette Past Month.26+,Totals.Illicit Drugs.Cocaine Used Past Year.26+,Rates.Illicit Drugs.Cocaine Used Past Year.12-17,Totals.Marijuana.New Users.12-17,Rates.Marijuana.New Users.12-17,Totals.Marijuana.Used Past Month.26+,Rates.Marijuana.Used Past Month.26+,Totals.Marijuana.Used Past Year.26+,Rates.Marijuana.Used Past Year.26+,Totals.Tobacco.Use Past Month.26+,Rates.Tobacco.Use Past Month.26+
Virginia,2002,4560096,265,61.837,2458,539.104,1080,236.913,81,17.184,38,73.392,170,37.254,259,56.811,1309,286.994
Washington,2002,3825493,224,58.29,2308,603.291,839,219.308,49,17.713,31,71.435,184,48.161,346,90.454,971,253.699
West Virginia,2002,1197550,60,63.175,441,368.105,335,279.436,17,26.083,9,72.889,38,31.698,63,52.376,435,362.965
Wisconsin,2002,3425585,253,71.858,2072,604.803,811,236.693,61,19.832,30,71.661,109,31.789,192,56.146,988,288.415
Wyoming,2002,310110,21,75.421,169,543.541,79,255.026,4,17.993,3,64.353,10,32.719,20,63.79,101,325.479
Alabama,2003,2834977,135,48.108,1137,400.951,779,274.905,46,15.842,19,57.088,81,28.499,156,55.134,994,350.657
Alaska,2003,370098,23,56.886,200,539.139,91,246.34,5,20.778,4,77.867,26,70.333,43,115.565,106,287.057
Arizona,2003,3424675,276,74.932,1807,527.693,841,245.571,83,27.566,27,66.348,134,39.126,233,68.067,969,282.873
Arkansas,2003,1703727,86,54.938,699,410.53,498,292.234,23,15.218,12,57.542,61,36.007,103,60.498,612,359.028
California,2003,21686129,1336,63.632,11848,546.34,3621,166.954,417,16.061,169,61.018,1019,46.98,1625,74.923,4238,195.433
Colorado,2003,2828830,220,67.979,1754,619.989,714,252.388,75,19.641,24,79.195,140,49.513,269,95.06,828,292.59
Connecticut,2003,2259754,139,64.449,1440,637.355,503,222.373,32,18.072,21,85.348,97,43.078,174,77.005,577,255.474
Delaware,2003,522123,29,48.705,275,525.786,123,236.268,10,14.715,4,65.887,18,35.43,34,65.872,143,274.026
District of Columbia,2003,367787,33,34.653,215,584.301,98,265.94,11,5.653,2,59.079,19,51.537,39,105.871,106,288.755
Florida,2003,11277251,662,56.203,6086,539.709,2700,239.414,217,16.342,71,59.333,465,41.276,833,73.868,3174,281.421
Georgia,2003,5276693,275,41.268,2546,482.47,1378,261.216,102,14.329,37,56.072,208,39.331,360,68.22,1634,309.671
Hawaii,2003,791438,46,68.888,405,511.814,153,193.869,10,12.972,5,74.496,36,45.824,57,71.927,172,217.209
Idaho,2003,815805,52,72.771,414,508.06,169,206.719,9,18.538,7,65.401,25,31.254,45,55.047,206,252.746
Illinois,2003,7863343,563,60.232,4390,558.261,2075,263.918,150,14.291,59,61.566,292,37.179,541,68.792,2436,309.798
Indiana,2003,3816240,223,56.391,1878,492.214,1020,267.251,64,17.456,27,57.637,139,36.302,249,65.226,1218,319.188
Iowa,2003,1860596,131,73.137,1028,552.562,479,257.512,28,16.858,12,52.555,54,28.953,105,56.458,563,302.49
Kansas,2003,1655732,97,71.276,816,492.952,444,267.896,22,15.529,13,60.363,49,29.683,93,55.971,539,325.336
Kentucky,2003,2611452,137,54.279,1054,403.636,849,325.144,48,16.738,20,73.09,120,45.829,195,74.833,992,379.716
Louisiana,2003,2685275,176,59.615,1276,475.079,767,285.571,53,13.654,21,58.623,84,31.175,146,54.53,880,327.681
Maine,2003,875886,54,64.795,452,515.779,221,252.185,14,20.315,6,72.125,47,54.21,70,79.638,273,311.171
Maryland,2003,3492188,216,51.009,1909,546.79,795,227.753,63,12.128,27,63.718,113,32.42,228,65.239,921,263.82
Massachusetts,2003,4189790,287,65.844,2690,642.12,850,202.818,82,17.098,29,72.817,239,57.023,414,98.697,1025,244.559
Michigan,2003,6328980,385,60.237,3487,550.999,1710,270.232,125,15.66,51,66.869,313,49.494,550,86.833,2009,317.364
Minnesota,2003,3185052,220,67.087,1938,608.333,720,226.031,46,18.719,24,64.39,127,39.921,231,72.379,907,284.617
Mississippi,2003,1720516,92,40.312,643,373.632,476,276.403,28,12.234,11,43.881,46,26.669,86,49.739,580,337.027
Missouri,2003,3583670,264,70.962,1841,513.631,1068,297.916,65,19.915,28,68.97,155,43.285,288,80.366,1275,355.736
Montana,2003,588167,44,103.923,339,576.243,145,246.233,9,18.694,5,86.342,32,54.534,47,80.545,189,321.993
Nebraska,2003,1065283,74,81.821,611,573.19,234,220.077,14,16.427,8,61.677,34,32.371,66,61.845,293,274.905
Nevada,2003,1437719,99,66.876,711,494.352,390,271.082,20,15.123,11,68.309,65,44.945,105,72.746,441,307.004
New Hampshire,2003,839848,50,62.258,532,633.014,198,236.199,16,20.507,7,74.487,50,60.094,85,101.124,242,287.754
New Jersey,2003,5595385,298,55.589,3147,562.411,1226,219.029,86,14.527,41,60.99,162,29.026,290,51.743,1340,239.51
New Mexico,2003,1142829,91,80.395,560,490.229,258,225.807,22,27.672,11,87.619,66,57.905,96,83.86,315,275.789
New York,2003,12344264,661,54.891,6910,559.801,2976,241.084,225,13.863,86,62.796,613,49.672,970,78.614,3379,273.728
North Carolina,2003,5275688,255,44.956,2214,419.666,1368,259.266,83,12.36,39,64.133,198,37.514,321,60.847,1800,341.254
North Dakota,2003,392000,28,91.496,238,607.165,100,256.189,4,17.942,3,67.481,14,34.547,21,53.55,124,316.839
Ohio,2003,7227097,420,56.105,3901,539.708,2073,286.905,114,13.251,53,62.47,289,39.946,468,64.721,2486,343.989
Oklahoma,2003,2144532,120,68.094,919,428.716,638,297.536,27,17.478,15,59.07,72,33.586,126,58.793,745,347.447
Oregon,2003,2296726,155,65.41,1313,571.727,541,235.533,35,17.157,17,69.537,128,55.796,205,89.382,640,278.687
Pennsylvania,2003,8027780,475,56.337,4379,545.43,2086,259.866,160,16.775,57,63.284,310,38.676,539,67.116,2559,318.722
Rhode Island,2003,690482,53,68.887,437,632.518,173,251.229,16,19.328,5,73.838,41,59.219,66,95.516,203,293.567
South Carolina,2003,2594007,183,51.969,1168,450.438,678,261.537,46,19.457,20,62.303,101,38.782,172,66.456,802,309.004
South Dakota,2003,464319,35,96.749,276,593.387,131,281.772,5,18.187,4,72.401,14,29.924,26,55.244,154,332.567
Tennessee,2003,3743398,199,46.901,1438,384.253,1052,280.98,62,15.571,23,53.597,134,35.764,211,56.239,1236,330.067
Texas,2003,12992311,774,55.423,6465,497.565,3401,261.78,216,24.457,102,57.748,379,29.156,664,51.079,3967,305.341
Utah,2003,1248593,64,46.687,387,310.155,217,174.127,18,13.712,9,41.57,32,25.912,56,44.467,257,205.568
Vermont,2003,408025,25,64.629,248,608.065,94,231.275,7,21.168,4,88.156,23,57.314,38,93.67,114,278.854
Virginia,2003,4614672,263,53.556,2425,525.515,1120,242.799,89,13.387,29,53.038,159,34.386,275,59.572,1344,291.278
Washington,2003,3890656,263,65.355,2368,608.745,881,226.542,53,18.052,29,64.707,165,42.504,310,79.679,1029,264.581
West Virginia,2003,1205827,68,65.779,437,362.068,373,309.051,19,22.364,8,70.166,45,37.354,71,58.501,470,389.54
Wisconsin,2003,3459808,321,87.158,2243,648.199,817,236.006,66,22.503,28,69.829,123,35.524,226,65.389,991,286.395
Wyoming,2003,315000,23,78.575,167,530.497,76,239.727,4,16.939,3,69.667,11,34.978,21,65.505,98,311.386
Alabama,2004,2871062,161,54.66,1254,436.939,773,269.372,43,15.926,17,51.428,87,30.454,156,54.321,934,325.489
Alaska,2004,373429,23,59.821,208,557.079,89,238.455,6,19.52,4,71.5,30,79.92,46,122.536,108,288.9
Arizona,2004,3549522,273,70.835,2120,597.332,786,221.432,66,22.733,28,68.894,124,35.071,232,65.256,923,259.99
Arkansas,2004,1729803,90,51.152,697,403.149,471,272.47,23,16.42,11,55.108,63,36.164,106,61.066,599,346.079
California,2004,21850567,1395,60.806,11879,543.667,3822,174.903,322,15.881,164,57.477,1061,48.548,1762,80.63,4459,204.054
Colorado,2004,2865042,214,74.487,1805,629.929,596,207.867,54,18.606,24,74.678,141,49.365,237,82.596,717,250.279
Connecticut,2004,2265842,152,63.069,1474,650.695,488,215.513,39,19.419,19,79.91,112,49.532,212,93.432,569,251.271
Delaware,2004,534950,28,50.043,276,515.899,134,250.135,9,14.018,4,68.35,19,36.341,37,68.743,156,292.493
District of Columbia,2004,364207,32,39.544,222,608.994,93,254.899,12,5.225,2,61.086,19,52.5,41,113.864,103,282.272
Florida,2004,11530104,802,57.603,6382,553.466,2798,242.635,223,17.705,73,60.007,452,39.199,766,66.445,3316,287.626
Georgia,2004,5412379,278,43.069,2537,468.776,1340,247.503,80,12.709,35,50.271,213,39.364,346,63.909,1635,302.034
Hawaii,2004,796942,43,53.72,396,496.298,147,184.144,11,15.016,5,62.499,35,43.639,62,77.956,170,213.193
Idaho,2004,841609,52,70.543,417,495.32,185,219.382,10,17.009,6,55.463,28,32.856,48,56.471,219,260.623
Illinois,2004,7910382,530,57.95,4537,573.549,2092,264.405,145,13.158,58,59.355,287,36.338,512,64.735,2454,310.192
Indiana,2004,3856681,241,59.268,2025,525.01,1064,275.897,58,14.933,29,61.418,125,32.385,224,58.063,1254,325.131
