State,Year,Population.26+,Totals.Alcohol.Use Disorder Past Year.26+,Rates.Alcohol.Use Disorder Past Year.12-17,Totals.Alcohol.Use Past Month.26+,Rates.Alcohol.Use Past Month.26+,Totals.Tobacco.Cigarette Past Month.26+,Rates.Tobacco.Cigarette Past Month.26+,Totals.Illicit Drugs.Cocaine Used Past Year.26+,Rates.Illicit Drugs.Cocaine Used Past Year.12-17,Totals.Marijuana.New Users.12-17,Rates.Marijuana.New Users.12-17,Totals.Marijuana.Used Past Month.26+,Rates.Marijuana.Used Past Month.26+,Totals.Marijuana.Used Past Year.26+,Rates.Marijuana.Used Past Year.26+,Totals.Tobacco.Use Past Month.26+,Rates.Tobacco.Use Past Month.26+
Alabama,2006,2919719,156,48.496,1205,412.686,846,289.616,45,13.287,18,50.085,92,31.572,163,55.699,1002,343.2
Alaska,2006,395433,24,59.415,232,586.544,95,239.276,8,14.503,3,58.348,24,60.03,40,100.564,116,294.439
Arizona,2006,3852843,241,49.593,2127,552.038,964,250.109,90,24.444,26,54.375,138,35.841,229,59.499,1107,287.33
Arkansas,2006,1778618,117,70.434,808,454.109,525,295.314,27,14.862,11,57.329,73,41.122,124,69.98,633,355.877
California,2006,22275311,1526,57.343,11703,525.363,4452,199.847,389,17.216,150,52.316,1018,45.699,1726,77.48,5099,228.918
Colorado,2006,3028921,229,72.791,1933,638.275,696,229.703,70,20.49,23,78.479,176,58.096,263,86.707,860,283.824
Connecticut,2006,2273192,149,69.162,1501,660.502,447,196.807,39,17.453,17,67.006,88,38.728,165,72.562,567,249.465
Delaware,2006,547985,30,43.679,311,568.141,134,245.312,11,13.246,3,51.395,22,40.938,41,74.321,155,283.141
District of Columbia,2006,377906,32,35.9,229,605.132,98,258.039,20,7.523,2,61.751,26,68.708,42,110.34,108,285.659
Florida,2006,12041147,720,49.641,6732,559.122,2964,246.136,202,16.519,68,55.108,435,36.145,760,63.109,3481,289.058
Georgia,2006,5761385,332,42.581,2865,497.36,1407,244.126,124,14.757,36,48.667,237,41.115,408,70.828,1793,311.226
Hawaii,2006,819708,61,59.309,410,500.62,167,203.41,12,14.106,5,63.343,30,37.207,47,57.005,184,224.161
Idaho,2006,893079,55,65.886,398,445.774,187,209.863,9,14.192,6,50.15,32,35.826,47,52.391,227,254.15
Illinois,2006,8011425,535,58.106,4437,553.842,2030,253.429,145,15.013,52,53.984,286,35.687,499,62.246,2387,298.008
Indiana,2006,3967335,233,49.517,2098,528.753,1084,273.106,61,14.162,29,59.756,160,40.33,254,64.13,1320,332.794
Iowa,2006,1882850,140,72.165,1035,549.697,463,246.136,21,14.419,13,53.575,45,24.001,85,45.405,566,300.429
Kansas,2006,1693284,111,69.977,925,546.006,421,248.602,25,17.282,11,48.288,63,37.213,99,58.745,525,310.005
Kentucky,2006,2710811,136,48.529,1146,422.685,781,288.26,38,15.422,19,67.394,100,36.893,184,68.04,979,361.245
Louisiana,2006,2604053,167,44.454,1380,529.941,702,269.632,53,10.804,19,55.412,97,37.126,182,69.703,856,328.559
Maine,2006,894906,54,57.233,493,550.637,239,267.535,14,15.127,6,68.669,50,55.696,74,83.082,272,304.315
Maryland,2006,3571216,226,52.065,2035,569.768,798,223.538,69,13.531,24,56.306,110,30.783,211,59.015,930,260.291
Massachusetts,2006,4200845,306,59.683,2657,632.406,858,204.324,96,15.266,29,71.8,218,51.818,375,89.161,1047,249.184
Michigan,2006,6401469,426,55.798,3758,587.101,1617,252.534,93,11.64,45,57.843,317,49.523,517,80.753,1934,302.195
Minnesota,2006,3276237,245,69.97,2108,643.569,777,237.092,54,17.363,22,54.761,166,50.736,248,75.778,961,293.269
Mississippi,2006,1756337,92,38.763,679,386.748,472,268.622,24,8.176,11,41.893,57,32.696,91,51.929,588,335.04
Missouri,2006,3701021,237,58.283,1955,528.317,1091,294.758,59,15.9,24,51.73,145,39.304,266,71.971,1256,339.481
Montana,2006,611324,45,81.705,355,580.875,137,224.324,9,14.319,4,65.346,39,63.403,49,79.402,179,293.442
Nebraska,2006,1085658,76,65.324,604,556.16,264,242.845,14,12.434,7,46.557,36,33.1,58,53.198,313,288.084
Nevada,2006,1609285,109,63.25,904,561.583,435,270.38,27,20.57,9,55.421,72,44.613,120,74.315,484,300.454
New Hampshire,2006,868239,57,62.736,570,656.746,191,219.758,15,17.19,6,63.167,47,54.579,81,93.821,223,257.174
New Jersey,2006,5662105,301,51.605,3295,582.009,1205,212.806,80,13.145,36,52.888,171,30.258,344,60.807,1437,253.792
New Mexico,2006,1198968,76,65.394,548,457.197,264,219.795,23,21.428,9,75.666,54,45.258,82,68.106,324,270.208
New York,2006,12397704,663,46.523,7177,578.877,2767,223.153,274,13.165,80,57.596,570,45.963,986,79.539,3120,251.657
North Carolina,2006,5664014,302,42.194,2521,445.044,1453,256.613,106,12.693,36,53.267,201,35.561,355,62.625,1766,311.841
North Dakota,2006,388842,29,79.162,243,623.889,92,236.032,4,13.167,2,52.139,13,34.2,19,48.647,111,286.506
Ohio,2006,7315244,484,56.584,3883,530.75,2073,283.389,135,14.479,55,64.733,289,39.485,516,70.473,2459,336.114
Oklahoma,2006,2202862,123,46.617,971,440.948,683,310,28,14.517,14,50.691,82,37.077,129,58.786,810,367.93
Oregon,2006,2436662,134,53.22,1457,598.119,553,227.143,42,19.492,17,67.347,139,57.079,231,94.783,666,273.211
Pennsylvania,2006,8099649,422,49.104,4532,559.561,2027,250.223,120,13.372,52,57.184,279,34.418,501,61.906,2451,302.587
Rhode Island,2006,683457,48,54.753,450,659.035,164,240.612,22,20.009,5,75.851,47,68.878,73,106.653,195,285.049
South Carolina,2006,2759373,179,50.189,1370,496.456,808,292.805,43,11.774,17,49.872,90,32.455,160,57.896,927,336.069
South Dakota,2006,484977,36,69.027,292,602.754,119,245.782,6,12.132,3,47.037,18,36.976,25,50.69,146,300.674
Tennessee,2006,3921118,238,55.037,1654,421.836,1204,307.02,80,14.857,24,55.75,153,38.929,276,70.402,1417,361.278
Texas,2006,13969152,856,50.082,7079,506.78,3540,253.415,233,20.397,95,51.409,385,27.562,693,49.589,4201,300.769
Utah,2006,1398474,74,43.256,463,330.841,239,171.223,20,13.852,9,34.193,37,26.417,58,41.159,283,202.687
Vermont,2006,415768,27,59.708,262,631.237,92,221.721,8,15.856,3,81.474,28,67.522,44,106.256,116,279.647
Virginia,2006,4833297,288,48.824,2686,555.789,1122,232.134,92,15,30,54.569,215,44.478,318,65.697,1332,275.61
Washington,2006,4127451,260,56.829,2379,576.374,887,214.843,75,18.562,26,55.514,232,56.214,343,83.158,1087,263.248
West Virginia,2006,1221268,60,45.712,449,367.768,380,311.073,19,15.685,6,52.822,41,33.803,72,58.864,464,379.659
Wisconsin,2006,3562535,260,64.407,2322,651.813,976,274.016,59,17.004,25,61.544,142,39.85,236,66.376,1125,315.844
Wyoming,2006,327096,25,80.591,192,585.848,92,282.058,5,15.969,2,67.516,15,45.93,23,71.665,116,355.771
Alabama,2007,2945019,158,45.596,1234,419.022,804,272.868,36,10.322,16,45.213,90,30.587,163,55.397,956,324.691
Alaska,2007,402686,25,55.828,241,597.247,96,239.215,10,17.14,3,61.479,29,72.042,46,113.748,119,294.504
Arizona,2007,3970487,259,60.259,2241,564.538,955,240.488,96,20.627,25,54.975,157,39.644,275,69.282,1108,279.068
Arkansas,2007,1798383,101,53.003,811,450.748,564,313.455,29,12.307,10,49.327,69,38.406,140,77.617,655,364.462
California,2007,22463775,1389,55.925,11946,531.786,4371,194.592,367,15.85,157,55.822,1037,46.16,1782,79.338,5074,225.877
Colorado,2007,3099040,222,68.692,2045,659.816,751,242.225,84,20.721,22,74.241,212,68.407,299,96.527,905,292.181
Connecticut,2007,2270009,152,62.254,1476,650.3,481,211.893,39,16.193,17,65.952,96,42.08,169,74.431,583,256.692
Delaware,2007,555898,33,47.075,324,582.316,145,261.513,12,11.184,3,53.768,26,46.013,43,76.563,168,302.888
District of Columbia,2007,382077,31,32.611,238,622.009,104,272.663,16,5.966,2,68.32,26,67.865,43,111.346,113,295.641
Florida,2007,12159193,764,47.918,6794,558.734,2937,241.548,186,14.668,64,51.703,492,40.436,849,69.82,3501,287.911
Georgia,2007,5874242,325,38.451,3041,517.629,1556,264.838,102,10.862,37,52.416,227,38.672,440,74.962,1884,320.698
Hawaii,2007,828347,59,56.627,420,506.842,175,211.395,14,15.275,5,65.54,41,49.735,59,70.794,194,233.917
Idaho,2007,913888,51,56.848,414,453.21,196,214.306,8,14.132,6,52.843,36,39.792,55,60.652,230,251.168
Illinois,2007,8046718,547,51.677,4672,580.553,1994,247.83,133,11.709,52,54.559,296,36.735,533,66.206,2356,292.811
Indiana,2007,4001008,222,52.391,2092,522.993,1084,271.039,64,13.011,27,58.043,170,42.497,279,69.837,1313,328.068
Iowa,2007,1894591,127,63.025,1075,567.394,445,234.659,13,11.354,11,45.071,40,20.907,70,37.151,542,286.175
Kansas,2007,1708875,108,59.693,911,533.082,410,240.026,18,14.25,11,52.933,58,33.667,95,55.341,501,293.339
Kentucky,2007,2745161,129,40.892,1144,416.704,879,320.246,35,12.891,19,64.848,109,39.568,191,69.599,1055,384.454
Louisiana,2007,2648484,163,40.798,1320,498.513,718,270.957,63,9.517,17,45.225,88,33.121,162,61.029,831,313.749
Maine,2007,897986,50,51.358,494,549.718,231,257.413,16,13.37,6,64.102,53,59.255,75,83.857,266,296.023
Maryland,2007,3582541,234,46.143,2101,586.445,755,210.609,63,10.346,26,59.261,123,34.201,258,71.882,902,251.833
Massachusetts,2007,4219456,278,52.871,2722,645.171,815,193.188,64,13.374,30,71.578,184,43.569,329,77.915,987,233.999
Michigan,2007,6405116,406,54.051,3706,578.553,1608,251.013,101,11.347,43,56.84,314,48.992,497,77.561,1923,300.221
Minnesota,2007,3308617,267,66.999,2208,667.362,791,238.93,57,15.626,19,48.991,158,47.757,245,73.989,948,286.483
Mississippi,2007,1764673,91,38.166,705,399.426,454,257.531,18,6.572,11,42.006,54,30.647,84,47.73,568,321.607
Missouri,2007,3738674,232,57.267,1978,529.12,1020,272.726,54,13.27,23,53.217,137,36.51,242,64.669,1219,325.987
Montana,2007,621245,44,70.306,381,612.808,138,222.879,9,12.863,4,67.982,36,58.073,50,80.091,181,291.121
Nebraska,2007,1092664,74,63.224,643,588.741,263,240.626,10,12.084,7,50.072,34,31.573,61,55.9,310,283.327
Nevada,2007,1646368,111,60.903,917,557.071,452,274.436,31,21.226,10,57.274,75,45.621,128,77.462,501,304.152
New Hampshire,2007,872225,53,56.276,584,668.993,190,217.812,13,14.783,6,69.438,55,63.186,87,100.187,228,261.073
New Jersey,2007,5652902,313,44.403,3254,575.622,1270,224.706,72,11.887,30,41.979,172,30.45,299,52.898,1457,257.758
New Mexico,2007,1217991,75,58.826,581,477.012,261,214.561,15,16.52,9,71.208,48,39.592,76,62.226,311,255.555
New York,2007,12500501,702,47.594,7276,582.02,2595,207.612,261,12.508,78,57.224,535,42.833,940,75.191,2959,236.729
North Carolina,2007,5782173,328,42.541,2744,474.51,1538,265.907,128,10.589,41,64.608,244,42.148,407,70.407,1841,318.422
North Dakota,2007,391328,26,68.583,238,608.302,91,233.32,3,10.729,2,51.15,14,34.934,19,47.757,109,279.043
Ohio,2007,7350420,483,55.685,3947,536.916,2045,278.235,97,12.27,51,59.706,282,38.394,494,67.219,2465,335.342
Oklahoma,2007,2229744,122,47.52,957,429.381,603,270.576,22,13.858,14,48.585,76,34.142,129,58.017,737,330.73
Oregon,2007,2477185,161,58.505,1563,630.821,611,246.738,63,16.106,17,70.909,161,64.941,253,102.052,737,297.45
Pennsylvania,2007,8116495,444,48.208,4592,565.763,2069,254.899,134,13.856,48,53.507,267,32.944,472,58.137,2484,306.017
Rhode Island,2007,680188,42,53.3,437,641.926,162,237.67,23,16.264,5,74.62,51,74.418,70,102.796,187,275.174
South Carolina,2007,2817192,180,44.096,1403,498.095,774,274.741,54,10.513,16,48,99,35.268,163,57.952,905,321.258
South Dakota,2007,494494,34,64.178,296,598.64,116,233.625,4,10.751,3,49.303,17,34.563,24,48.256,143,288.244
Tennessee,2007,3996018,223,44.242,1673,418.704,1150,287.805,76,11.553,22,48.04,164,41.083,296,74.174,1370,342.951
Texas,2007,14256754,810,48.697,7117,499.229,3365,236.037,210,16.396,91,48.825,407,28.572,698,48.969,4020,281.951
Utah,2007,1458451,77,41.421,449,307.939,225,154.475,15,13.56,10,38.185,40,27.512,58,39.855,263,180.29
Vermont,2007,417049,24,54.883,264,633.308,89,212.653,8,13.129,3,75.163,29,68.972,44,104.778,116,277.166
Virginia,2007,4873378,302,51.658,2763,566.946,1112,228.205,79,13.133,30,56.62,187,38.276,316,64.86,1302,267.094
Washington,2007,4199736,278,54.588,2547,606.549,943,224.561,71,15.208,25,53.76,242,57.558,376,89.623,1113,264.983
West Virginia,2007,1224679,63,46.736,476,388.714,347,283.678,23,13.429,6,50.883,40,32.675,74,60.625,448,366.06
Wisconsin,2007,3601989,248,65.646,2300,638.489,967,268.568,84,15.769,25,60.349,155,43.122,248,68.985,1130,313.78
Wyoming,2007,332809,24,73.804,185,557.218,88,265.556,3,14.123,2,64.904,12,36.53,20,61.133,115,344.766
Alabama,2008,2974610,162,41.228,1334,448.369,803,269.786,33,7.569,16,44.659,100,33.529,175,58.909,991,333.293
Alaska,2008,409778,28,53.149,243,593.676,97,237.75,10,14.459,3,63.478,38,93.036,52,126.728,118,289.141
Arizona,2008,4050064,253,54.003,2211,545.999,885,218.494,68,13.783,27,61.007,197,48.591,295,72.922,1028,253.876
Arkansas,2008,1818264,101,49.024,815,447.981,556,305.567,21,8.895,10,51.486,80,43.957,143,78.484,651,358.094
California,2008,22568441,1492,52.708,12185,539.929,4292,190.17,352,13.912,182,66.644,1256,55.653,2010,89.062,5063,224.347
Colorado,2008,3153539,230,63.222,2085,661.121,679,215.191,81,13.726,24,81.132,231,73.098,340,107.868,831,263.655
Connecticut,2008,2276860,164,59.198,1436,630.761,471,206.873,34,12.584,18,70.949,107,46.994,188,82.544,560,245.757
Delaware,2008,564013,36,48.625,334,591.796,140,249.04,11,9.11,4,66.653,24,42.9,41,73.507,167,296.476
District of Columbia,2008,385608,31,30.374,245,635.336,93,240.752,14,4.336,2,72.511,23,60.673,39,101.075,107,276.645
Florida,2008,12261205,745,43.277,6692,545.769,2790,227.583,179,10.519,65,53.453,533,43.509,905,73.825,3292,268.468
Georgia,2008,5963681,341,33.761,3112,521.856,1474,247.151,71,8.095,37,54.625,266,44.626,486,81.513,1742,292.043
Hawaii,2008,828273,53,58.328,422,509.469,161,194.618,12,12.456,4,64.159,57,68.406,72,87.385,177,213.168
Idaho,2008,930335,54,51.639,458,491.859,215,230.668,7,12.449,7,54.951,39,42.057,67,71.515,249,268.177
Illinois,2008,8068047,500,43.227,4647,576.019,1966,243.657,124,9.862,52,56.544,311,38.588,566,70.115,2295,284.423
Indiana,2008,4034745,225,50.059,2050,508.2,1069,264.92,47,10.912,27,58.131,168,41.743,286,70.811,1283,317.993
Iowa,2008,1905387,132,66.7,1132,594.293,468,245.792,13,11.132,12,53.415,56,29.243,93,48.997,572,300.116
Kansas,2008,1723761,108,56.813,977,566.621,417,241.938,16,11.13,12,56.542,59,33.965,103,60.032,516,299.075
Kentucky,2008,2771834,137,38.304,1111,400.959,897,323.754,26,10.244,17,54.605,91,32.714,169,60.991,1064,383.698
Louisiana,2008,2716104,162,36.341,1362,501.62,739,271.986,56,8.429,15,38.883,88,32.556,150,55.141,853,313.998
Maine,2008,902774,50,40.648,524,580.783,226,250.316,15,11.332,5,54.266,69,76.914,89,98.524,264,292.78
Maryland,2008,3612130,220,37.011,2098,580.933,703,194.547,45,8.702,22,56.125,128,35.552,252,69.811,857,237.228
Massachusetts,2008,4263188,242,47.388,2764,648.337,858,201.254,75,11.764,29,71.302,249,58.375,418,98.065,1017,238.527
Michigan,2008,6402870,412,48.983,3739,583.917,1656,258.701,95,10.532,44,59.749,354,55.212,545,85.076,1931,301.656
Minnesota,2008,3344152,254,57.662,2191,655.14,743,222.235,43,11.208,19,48.539,138,41.301,232,69.234,872,260.682
Mississippi,2008,1778519,96,36.76,746,419.628,477,268.246,20,6.28,10,40.899,56,31.458,94,53.001,573,321.927
Missouri,2008,3786858,238,51.485,2005,529.534,988,260.851,58,10.014,22,51.104,157,41.527,251,66.183,1233,325.472
Montana,2008,629651,47,82.346,390,619.493,151,239.136,10,11.676,4,66.719,36,57.238,51,80.393,189,300.291
Nebraska,2008,1100620,76,56.546,624,566.67,264,240,12,11.031,7,44.827,39,35.029,67,61.244,316,287.115
Nevada,2008,1668924,109,54.03,978,586.273,417,249.704,30,15.019,12,71.596,84,50.57,129,77.449,480,287.756
New Hampshire,2008,880070,53,50.915,598,679.122,198,225.345,17,12.311,6,62.904,61,69.093,93,105.474,241,274.048
New Jersey,2008,5658877,314,37.087,3246,573.682,1151,203.338,75,10.376,34,48.922,169,29.863,321,56.738,1391,245.778
New Mexico,2008,1230799,87,66.38,616,500.492,270,219.504,18,12.966,10,78.446,55,44.924,84,68.155,315,256.211
New York,2008,12574826,799,53.117,7365,585.712,2584,205.471,254,10.861,81,60.525,612,48.67,1048,83.372,2972,236.351
North Carolina,2008,5878891,310,33.999,2939,499.845,1572,267.336,105,9.289,41,62.377,264,44.864,423,72.034,1865,317.154
North Dakota,2008,395073,24,52.888,235,594.601,94,238.563,3,10.491,2,42.82,13,33.003,19,48.523,114,288.734
Ohio,2008,7401492,463,51.88,4003,540.796,1941,262.289,77,10.244,46,55.93,288,38.871,483,65.234,2351,317.636
Oklahoma,2008,2253581,140,49.625,1066,473.118,633,281.008,22,11.389,14,48.654,89,39.626,161,71.581,790,350.703
Oregon,2008,2507377,181,63.266,1594,635.839,621,247.755,49,12.327,18,78.746,178,71.096,261,104.025,741,295.646
Pennsylvania,2008,8192882,455,42.148,4737,578.138,2073,252.988,149,10.849,48,53.672,311,37.977,543,66.236,2513,306.746
Rhode Island,2008,679594,46,48.641,427,627.768,149,219.328,22,12.796,5,71.963,47,69.428,64,93.939,173,254.135
South Carolina,2008,2872669,202,39.765,1402,488.22,785,273.311,75,8.335,16,47.737,120,41.604,184,64.04,907,315.866
South Dakota,2008,500732,38,67.374,305,609.292,121,241.369,4,9.518,3,51.693,17,34.383,28,55.503,151,301.615
Tennessee,2008,4049989,215,32.775,1732,427.708,1163,287.081,50,9.327,20,41.055,151,37.243,281,69.464,1379,340.52
Texas,2008,14523007,850,46.258,7483,515.238,3268,225.05,203,11.597,99,52.017,422,29.057,769,52.926,3981,274.116
Utah,2008,1500232,74,33.107,461,307.192,253,168.324,12,11.627,11,39.417,34,22.704,62,41.271,282,188.042
Vermont,2008,419240,26,49.236,264,628.699,89,212.855,9,12.247,3,73.72,33,77.549,46,110.863,111,265.811
Virginia,2008,4928699,319,50.702,2653,538.253,1123,227.941,64,10.241,32,59.806,170,34.495,311,63.192,1332,270.255
Washington,2008,4262578,251,47.439,2581,605.419,962,225.644,65,12.003,25,56.826,236,55.324,387,90.827,1123,263.48
West Virginia,2008,1229556,67,44.535,475,386.623,372,302.955,24,10.502,7,53.306,46,37.415,85,68.768,473,384.388
Wisconsin,2008,3632151,234,54.253,2376,654.178,914,251.543,77,11.895,24,61.569,151,41.638,248,68.224,1082,297.885
Wyoming,2008,339021,23,69.572,195,574.094,88,260.854,3,11.269,2,64.722,11,33.653,21,62.676,114,335.829
Alabama,2009,2993410,178,42.954,1359,453.932,826,276.034,24,6.722,16,45.413,99,32.954,191,63.953,996,332.852
Alaska,2009,414553,28,49.068,237,570.994,109,262.625,8,8.82,3,68.671,41,98.197,58,139.24,132,318.907
Arizona,2009,4111148,269,48.839,2112,513.64,924,224.659,59,11.118,28,63.267,197,47.825,328,79.805,1067,259.555
Arkansas,2009,1833369,102,45.373,778,424.3,524,285.775,16,8.511,10,50.029,73,39.581,123,66.919,625,340.759
California,2009,22773074,1566,53.891,12132,532.718,4141,181.82,352,12.775,185,68.778,1358,59.631,2234,98.088,4813,211.328
Colorado,2009,3192744,227,56.775,2135,668.721,652,204.117,75,11.5,28,93.085,283,88.579,400,125.383,828,259.428
Connecticut,2009,2285109,148,48.163,1439,629.783,469,205.442,28,10.376,17,72.289,113,49.582,213,93.123,552,241.757
Delaware,2009,572665,34,47.576,342,597.308,134,233.496,8,8.683,4,72.456,26,44.78,46,80.897,165,287.966
District of Columbia,2009,392811,33,33.187,249,635.069,93,236.117,12,3.803,2,75.27,30,76.694,47,120.796,108,273.747
Florida,2009,12361513,739,44.363,6642,537.283,2779,224.824,182,8.769,68,56.871,535,43.318,952,77.018,3244,262.442
Georgia,2009,6022823,320,36.474,3068,509.359,1336,221.886,69,6.837,42,60.873,224,37.269,439,72.942,1596,265.06
Hawaii,2009,827725,53,54.901,412,498.318,158,190.807,10,8.722,4,68.462,49,59.664,68,82.237,180,217.446
Idaho,2009,939631,58,52.252,479,509.799,220,234.495,6,10.319,7,57.095,52,55.6,83,88.855,258,274.277
Illinois,2009,8097288,475,41.126,4634,572.305,1939,239.498,109,8.586,52,56.662,336,41.477,599,74.034,2292,283.044
Indiana,2009,4047093,245,44.075,2117,523.095,1032,254.975,33,8.991,27,56.354,164,40.45,274,67.61,1219,301.179
Iowa,2009,1908202,124,54.367,1123,588.512,478,250.402,12,11.157,13,59.671,57,29.911,105,55.257,581,304.533
Kansas,2009,1730522,110,53.515,1026,593.119,405,234.041,19,10.7,12,56.09,61,35.181,105,60.429,525,303.327
Kentucky,2009,2781361,143,40.812,1126,404.889,848,304.977,25,10.498,16,51.507,81,29.3,149,53.735,998,358.806
Louisiana,2009,2756163,154,33.993,1341,486.639,720,261.305,38,7.203,15,41.064,87,31.654,153,55.508,838,304.053
Maine,2009,903556,47,40.908,537,594.696,218,240.92,13,10.515,5,59.333,66,73.598,97,107.615,254,280.984
Maryland,2009,3653639,202,33.011,2028,555.114,711,194.688,54,8.03,22,55.942,139,38.128,224,61.172,877,240.08
Massachusetts,2009,4324616,286,51.559,2907,672.268,836,193.286,99,9.906,32,80.167,299,69.233,509,117.734,979,226.453
Michigan,2009,6398696,430,44.943,3756,586.951,1647,257.45,81,8.635,43,60.387,414,64.719,610,95.315,1905,297.669
Minnesota,2009,3372460,219,48.572,2128,630.867,742,219.955,30,9.056,20,54.237,136,40.472,240,71.131,874,259.232
Mississippi,2009,1784646,99,37.544,764,428.032,495,277.251,25,6.103,10,41.618,56,31.481,102,57.274,628,351.903
Missouri,2009,3819620,210,46.176,2043,534.991,1044,273.415,50,9.207,24,56.103,160,41.818,269,70.552,1320,345.509
Montana,2009,633252,45,66.455,387,611.882,154,243.185,8,10.31,5,75.259,43,68.431,66,103.503,197,311.869
Nebraska,2009,1106278,67,46.005,603,545.509,259,234.248,11,10.159,6,45.193,44,39.814,68,61.587,317,286.232
Nevada,2009,1680228,123,53.828,992,590.514,408,242.969,33,10.551,11,65.137,88,52.205,138,81.872,466,277.374
New Hampshire,2009,883622,53,52.443,597,675.188,204,230.898,18,10.756,6,74.198,61,68.841,95,106.988,247,279.492
New Jersey,2009,5686972,310,39.21,3370,592.669,1158,203.558,102,9.274,38,60.017,203,35.774,398,69.968,1417,249.118
New Mexico,2009,1244885,79,54.549,596,478.671,270,216.895,22,12.926,10,82.723,67,54.11,102,82.064,324,260.343
New York,2009,12648267,758,49.692,7371,582.758,2645,209.129,211,9.658,76,57.09,660,52.197,1142,90.304,3004,237.529
North Carolina,2009,5935653,317,36.244,3072,517.597,1552,261.532,90,8.334,36,53.58,294,49.574,427,71.925,1806,304.232
North Dakota,2009,397148,25,45.539,249,626.427,86,217.333,2,9.972,2,45.227,11,27.075,19,48.86,109,274.741
Ohio,2009,7442306,457,46.436,4131,555.054,1884,253.211,83,9.554,47,56.801,284,38.123,499,67.065,2281,306.511
Oklahoma,2009,2272080,147,47.6,1109,488.214,650,286.216,21,10.462,15,55.546,112,49.399,173,76.217,832,365.989
Oregon,2009,2525156,175,51.3,1642,650.317,590,233.57,34,12.38,17,74.868,205,81.05,294,116.615,705,279.155
Pennsylvania,2009,8272159,459,41.563,4798,580.06,2035,246.038,128,8.81,50,58.092,321,38.772,603,72.865,2514,303.905
Rhode Island,2009,684072,51,45.936,442,645.904,154,225.629,15,10.689,5,71.737,50,73.444,75,109.774,177,258.265
South Carolina,2009,2912325,218,38.834,1415,485.719,778,267.182,57,6.775,17,48.852,119,40.967,213,73.089,886,304.206
South Dakota,2009,505557,38,64.395,308,609.03,124,244.996,4,8.771,3,48.353,17,33.179,27,54.013,155,306.707
Tennessee,2009,4079971,225,36.975,1719,421.354,1149,281.516,40,9.075,20,42.573,126,30.926,274,67.107,1424,349.021
Texas,2009,14745138,849,45.767,7724,523.8,3248,220.264,191,11.281,104,54.812,511,34.643,875,59.318,3897,264.286
Utah,2009,1528461,70,40.029,429,280.761,239,156.347,13,10.79,12,40.253,29,18.973,57,37.015,251,163.951
Vermont,2009,419057,26,48.488,271,645.856,88,210.951,9,12.201,3,82.052,34,81.524,50,118.29,108,258.376
Virginia,2009,4976551,330,50.151,2710,544.598,1111,223.161,70,8.49,30,56.42,186,37.343,334,67.13,1335,268.203
Washington,2009,4324124,226,42.856,2650,612.832,950,219.71,67,10.548,26,62.072,289,66.933,424,98.09,1122,259.371
West Virginia,2009,1227612,62,42.456,503,409.422,397,323.419,17,9.465,7,55.586,49,40.312,92,74.691,502,408.944
Wisconsin,2009,3641561,228,45.325,2503,687.457,827,226.986,53,10.045,25,63.619,137,37.605,246,67.495,984,270.178
Wyoming,2009,342522,21,58.568,192,561.255,84,246.611,3,9.923,2,65.913,11,33.518,20,57.227,112,327.279
Alabama,2010,3052348,128,35.191,1375,450.579,815,267.157,32,6.677,16,46.016,112,36.742,183,59.822,990,324.356
Alaska,2010,424976,30,44.337,241,567.032,119,279.66,5,8.866,4,75.084,39,91.815,58,135.308,140,329.588
Arizona,2010,4014024,271,45.853,2128,530.022,960,239.249,55,10.239,30,65.199,213,53.045,368,91.641,1080,268.96
Arkansas,2010,1851278,80,37.348,777,419.623,505,272.787,16,8.564,11,50.917,61,33.198,120,65.041,610,329.539
California,2010,23321879,1432,53.704,12372,530.477,3667,157.252,292,13.138,197,71.888,1426,61.146,2345,100.568,4391,188.273
Colorado,2010,3212230,225,45.294,2063,642.311,715,222.59,46,11.871,28,91.675,255,79.501,389,121.234,868,270.081
Connecticut,2010,2350212,147,43.84,1517,645.263,495,210.483,31,9.611,16,67.089,115,49.083,201,85.625,592,251.844
Delaware,2010,583371,28,38.039,330,566.45,140,239.574,7,8.543,4,72.242,24,41.265,49,83.705,171,292.937
District of Columbia,2010,399778,41,36.024,255,638.551,94,234.353,11,3.167,2,79.708,30,75.58,54,135.323,107,266.826
Florida,2010,12708633,616,39.802,6873,540.8,2773,218.214,146,8.33,68,54.71,541,42.534,947,74.499,3306,260.112
Georgia,2010,5997840,266,38.157,2978,496.588,1229,204.842,66,6.148,44,60.986,182,30.268,360,59.982,1590,265.111
Hawaii,2010,878476,55,47.378,447,509.294,168,191.225,10,8.201,5,71.808,39,43.987,72,82.252,181,206.176
Idaho,2010,956472,57,42.285,525,548.683,221,231.427,8,8.391,7,55.538,51,53.594,85,88.564,258,269.977
Illinois,2010,8165781,465,38.49,4756,582.393,1757,215.175,114,9.02,54,56.685,381,46.688,609,74.616,2150,263.247
Indiana,2010,4081667,233,35.911,2215,542.647,1028,251.95,36,7.764,27,51.576,189,46.188,292,71.555,1202,294.528
Iowa,2010,1944254,130,40.192,1093,562.271,452,232.465,15,8.88,12,53.362,63,32.191,121,62.285,522,268.336
Kansas,2010,1761207,101,41.161,957,543.358,433,245.806,20,10.001,13,62.859,64,36.269,111,63.053,524,297.346
Kentucky,2010,2789768,111,35.037,1190,426.706,867,310.745,29,8.733,17,56.431,98,35.072,168,60.26,1035,370.934
