20,18,2,59.732,62.325,0.914,24,62,73,63.662,124.672,25.967,49,119,141,127.535,237.88,50.275
4,2,0,77.736,84.25,1.625,8,15,26,110.781,239.907,71.362,13,24,46,188.73,389.026,124.566
25,18,3,64.179,60.101,1.364,38,91,122,77.371,151.78,36.657,82,166,215,169.646,275.435,64.64
13,10,1,66.71,71.089,0.991,19,50,57,79.67,164.807,33.891,37,87,104,157.567,288.856,61.51
158,126,17,58.786,62.674,1.437,241,631,978,76.595,160.916,45.736,443,1109,1670,141.067,282.887,78.068
23,16,3,75.936,81.015,1.986,38,107,168,98.228,216.673,60.119,75,181,300,195.456,365.715,107.298
20,11,2,83.099,82.243,1.34,27,76,94,92.197,236.209,42.218,52,125,158,175.776,388.189,70.859
4,3,0,79.415,72.098,1.161,6,19,20,94.062,220.55,39.56,12,29,36,181.989,332.364,70.945
2,3,0,68.901,81.651,1.692,2,18,26,74.326,241.396,69.323,5,28,40,148.342,376.138,106.759
77,52,8,67.541,64.396,1.167,115,279,526,85.194,176.802,47.513,217,470,900,161.342,298.324,81.349
40,26,4,59.333,47.582,1.259,51,123,165,68.659,130.115,31.782,106,226,331,142.048,238.536,63.636
6,5,0,70.172,89.015,0.719,11,21,37,102.273,169.993,49.01,19,37,59,180.861,302.008,77.044
7,5,1,63.64,54.264,1.324,10,21,25,79.185,124.741,31.031,19,40,42,146.283,243.653,52.747
58,46,5,62.369,68.658,1.266,82,241,253,76.09,174.317,32.348,156,409,462,144.562,296.121,58.985
25,24,4,54.761,75.355,1.268,40,121,148,73.669,171.92,39.114,76,200,245,139.502,284.4,64.789
12,14,1,53.682,71.458,1.062,17,46,56,71.008,131.444,30.436,33,91,104,133.929,258.775,56.274
11,12,1,51.272,76.829,1.083,18,44,46,73.894,139.181,27.944,32,81,87,132.367,254.418,52.901
19,13,2,69.493,62.944,1.165,27,64,99,81.571,141.548,38.175,53,119,177,163.226,262.076,67.751
20,21,2,56.358,79.103,0.922,28,92,89,69.216,170.381,33.271,53,148,154,130.157,275.17,57.805
8,5,1,83.056,103.52,1.254,11,30,46,105.597,232.175,53.34,20,49,68,187.569,373.413,77.963
28,19,3,66.743,71.553,1.289,38,104,113,78.684,194.34,32.664,70,163,237,147.458,303.073,68.399
31,22,3,77.447,81.665,1.578,54,165,201,105.302,245.414,47.945,102,257,472,201.511,381.879,112.412
51,39,4,67.834,76.569,1.363,83,202,312,92.345,184.877,49.524,153,353,539,170.32,323.818,85.498
26,19,3,68.649,71.466,1.477,40,100,126,89.218,174.902,39.95,77,174,225,173.02,303.352,71.283
11,11,1,45.486,53.306,0.893,16,45,47,60.446,129.855,27.446,28,77,80,110.088,220.615,46.78
30,21,3,71.002,72.608,1.367,37,117,163,74.293,185.535,45.91,79,198,280,161.483,314.762,78.729
6,4,0,90.805,101.967,1.216,10,21,39,120.712,206.639,67.083,17,36,52,210.749,351.514,90.021
9,7,1,66.346,59.926,1.122,14,32,39,91.303,156.064,36.56,25,56,67,164.229,271.688,62.889
12,6,1,84.232,60.78,1.509,18,39,78,95.757,182.867,56.828,36,63,115,196.742,290.153,83.078
8,5,1,88.15,111.396,1.592,13,35,61,117.852,273.08,73.608,23,58,94,205.242,446.083,113.104
43,25,4,66.24,59.723,1.156,53,142,164,73.316,178.881,29.299,101,233,279,140.301,293.961,49.959
11,8,1,82.554,104.922,1.428,18,40,53,103.467,189.767,47.416,34,71,81,190.314,338.012,72.406
93,81,8,68.483,80.16,1.177,137,437,593,87.551,214.4,48.169,250,684,1010,159.821,335.951,82.012
46,30,4,78.134,68.075,1.055,58,151,190,84.415,172.157,36.594,116,234,315,169.718,266.983,60.515
