6,27,49,16.556,54.892,17.513
2,5,5,24.4,83.68,13.838
16,51,86,32.411,85.3,25.683
4,18,26,18.643,60.5,15.187
53,259,410,16.995,66.052,19.184
10,51,83,26.412,102.912,29.573
5,23,33,18.187,70.237,14.561
1,7,11,16.101,73.802,21.171
0,3,14,6.466,45.477,36.467
26,108,220,19.419,68.276,19.887
13,50,108,16.771,52.588,20.79
2,7,9,17.017,55.153,11.654
2,8,7,17.981,50.265,9.184
18,90,143,16.724,65.3,18.222
11,51,68,19.954,71.972,18
5,23,27,21.778,64.252,14.352
4,20,24,17.971,63.062,14.814
7,30,50,20.456,65.857,19.306
7,29,65,16.527,53.771,24.229
2,11,13,21.845,80.46,14.597
7,26,59,13.767,47.993,17.012
10,53,90,20.544,78.83,21.372
19,68,128,20.767,62.648,20.267
10,43,52,23.487,74.652,16.353
3,15,30,11.802,41.753,17.535
10,45,80,20.329,71.861,22.654
2,8,9,25.136,72.961,16.165
3,12,15,21.607,57.19,14.15
4,16,23,19.736,73.462,16.556
3,13,16,26.646,101.698,18.944
13,51,95,17.752,64.93,17.093
5,21,20,28.077,100.343,18.141
22,141,248,14.14,69.253,20.154
13,56,95,19.19,64.221,18.301
1,5,4,19.538,59.386,10.963
17,86,135,16.917,69.882,18.828
6,25,27,18.575,59.92,12.731
6,28,39,19.104,72.46,17.076
15,85,144,14.852,66.223,17.926
2,15,17,20.978,120.488,24.973
6,29,54,17.079,63.574,21.131
2,5,5,24.051,54.908,11.02
9,38,66,18.46,60.755,17.968
52,167,203,25.834,66.628,15.841
3,17,15,15.171,47.791,12.122
2,7,7,28.093,97.309,18.466
10,41,81,17.184,55.191,17.813
9,47,49,17.713,71.495,12.922
4,14,17,26.083,74.243,14.412
10,41,61,19.832,66.225,17.731
1,4,4,17.993,76.005,12.521
6,28,46,15.842,56.283,16.102
1,6,5,20.778,87.204,13.873
14,54,83,27.566,86.417,24.154
4,17,23,15.218,54.411,13.306
52,267,417,16.061,67.505,19.236
8,45,75,19.641,90.131,26.407
5,27,32,18.072,81.489,14.086
1,7,10,14.715,72.753,18.925
0,3,11,5.653,40.9,28.989
22,120,217,16.342,72.52,19.256
11,43,102,14.329,44.083,19.363
1,7,10,12.972,53.682,12.121
2,8,9,18.538,49.131,11.189
16,87,150,14.291,61.964,19.105
10,48,64,17.456,66.841,16.692
4,22,28,16.858,62.853,15.106
4,20,22,15.529,61.717,13.026
6,30,48,16.738,67.116,18.421
6,31,53,13.654,57.38,19.797
2,13,14,20.315,96.062,15.553
6,32,63,12.128,57.207,17.969
9,57,82,17.098,83.915,19.681
14,70,125,15.66,63.244,19.788
8,38,46,18.719,63.848,14.31
3,15,28,12.234,44.085,16.389
10,48,65,19.915,73.878,18.273
1,7,9,18.694,66.513,15.313
2,13,14,16.427,60.937,13.529
3,14,20,15.123,60.195,13.733
2,13,16,20.507,97.34,18.484
11,48,86,14.527,58.683,15.305
5,21,22,27.672,97.727,19.345
22,156,225,13.863,76.01,18.262
9,44,83,12.36,48.985,15.661
1,5,4,17.942,55.6,11.194
13,75,114,13.251,59.86,15.73
5,27,27,17.478,64.782,12.74
5,26,35,17.157,66.042,15.308
17,95,160,16.775,72.473,19.975
2,14,16,19.328,108.77,23.654
7,30,46,19.457,65.493,17.775
1,5,5,18.187,55.313,11.427
7,34,62,15.571,54.156,16.43
50,158,216,24.457,61.39,16.632
3,18,18,13.712,50.268,14.691
1,7,7,21.168,102.593,16.116
8,45,89,13.387,59.707,19.198
10,52,53,18.052,77.143,13.615
3,17,19,22.364,85.855,15.804
11,46,66,22.503,72.009,19.21
1,5,4,16.939,80.33,12.805
6,31,43,15.926,60.775,15.039
1,5,6,19.52,74.081,17.152
12,48,66,22.733,75.131,18.628
4,20,23,16.42,62.876,13.2
52,251,322,15.881,63.122,14.729
7,44,54,18.606,86.75,18.944
6,29,39,19.419,84.328,17.225
1,7,9,14.018,74.483,17.428
0,4,12,5.225,57.81,32.289
25,139,223,17.705,80.754,19.298
10,41,80,12.709,41.489,14.775
2,7,11,15.016,54.883,14.328
2,11,10,17.009,62.898,11.644
14,82,145,13.158,58,18.333
8,53,58,14.933,74.629,15.156
4,19,23,17.037,53.543,12.116
4,22,30,16.512,68.225,17.907
5,31,47,16.298,68.975,17.944
