Totals.Tobacco.Cigarette Past Month.12-17,Totals.Tobacco.Cigarette Past Month.18-25,Totals.Tobacco.Cigarette Past Month.26+,Rates.Tobacco.Cigarette Past Month.12-17,Rates.Tobacco.Cigarette Past Month.18-25,Rates.Tobacco.Cigarette Past Month.26+,Totals.Tobacco.Use Past Month.12-17,Totals.Tobacco.Use Past Month.18-25,Totals.Tobacco.Use Past Month.26+,Rates.Tobacco.Use Past Month.12-17,Rates.Tobacco.Use Past Month.18-25,Rates.Tobacco.Use Past Month.26+
58,298,1123,95.587,356.491,227.941,71,347,1332,117.381,415.428,270.255
46,245,962,88.948,356.848,225.644,62,284,1123,118.667,414.602,263.48
17,83,372,131.388,471.331,302.955,22,96,473,168.818,541.979,384.388
48,248,914,105.728,403.418,251.543,58,279,1082,128.833,454.098,297.885
5,24,88,125.984,391.945,260.854,8,30,114,184.096,497.002,335.829
34,191,826,90.082,371.373,276.034,45,228,996,118.858,442.994,332.852
5,32,109,81.975,389.387,262.625,8,37,132,132.65,456.273,318.907
53,220,924,99.163,315.3,224.659,62,264,1067,115.228,377.541,259.555
24,119,524,103.004,392.862,285.775,32,137,625,137.589,453.492,340.759
212,1248,4141,68.269,288.489,181.82,281,1468,4813,90.573,339.314,211.328
33,187,652,87.749,340.123,204.117,47,234,828,123.728,425.745,259.428
25,133,469,87.649,354.743,205.442,31,155,552,108.097,413.405,241.757
6,34,134,93.076,355.864,233.496,8,40,165,125.345,421.693,287.966
2,25,93,65.342,293.344,236.117,3,31,108,90.815,354.942,273.747
106,587,2779,79.489,317.257,224.824,139,695,3244,104.279,375.616,262.442
76,358,1336,92.514,340.997,221.886,95,424,1596,115.226,403.943,265.06
7,43,158,71.648,326.086,190.807,9,48,180,100.392,367.97,217.446
12,62,220,88.538,363.802,234.495,16,71,258,118.548,416.996,274.277
91,556,1939,86.743,380.984,239.498,115,643,2292,109.354,440.457,283.044
49,282,1032,94.102,402.231,254.975,64,332,1219,122.231,473.928,301.179
26,132,478,108.343,375.893,250.402,31,158,581,133.28,450.345,304.533
24,119,405,106.369,358.894,234.041,31,146,525,134.777,441.474,303.327
37,181,848,110.145,405.019,304.977,50,216,998,150.376,484.25,358.806
32,194,720,86.929,367.619,261.305,40,221,838,108.586,418.807,304.053
9,52,218,94.668,406.195,240.92,12,60,254,124.595,470.676,280.984
34,186,711,74.309,302.054,194.688,42,221,877,92.626,359.429,240.08
39,278,836,78.806,362.319,193.286,51,325,979,103.911,423.909,226.453
78,430,1647,94.851,391.695,257.45,98,498,1905,119.14,453.451,297.669
37,236,742,88.896,404.063,219.955,46,274,874,111.794,469.552,259.232
25,131,495,102.206,389.819,277.251,34,158,628,135.413,468.619,351.903
55,255,1044,116.116,396.059,273.415,75,306,1320,158.457,475.775,345.509
9,41,154,121.636,370.465,243.185,12,53,197,163.427,479.501,311.869
13,80,259,91.29,374.204,234.248,17,90,317,121.225,422.016,286.232
16,85,408,73.87,331.651,242.969,21,102,466,99.302,396.239,277.374
11,58,204,106.564,414.217,230.898,14,66,247,136.617,467.724,279.492
53,326,1158,76.603,373.528,203.558,68,369,1417,97.42,422.232,249.118
16,83,270,101.719,361.387,216.895,21,98,324,130.645,429.88,260.343
118,709,2645,77.906,316.995,209.129,151,815,3004,99.776,364.223,237.529
59,378,1552,82.153,382.984,261.532,80,428,1806,110.856,434.198,304.232
5,31,86,102.704,335.294,217.333,6,39,109,131.025,423.635,274.741
104,482,1884,112.206,397.368,253.211,130,578,2281,140.078,476.21,306.511
32,183,650,108.029,435.953,286.216,42,216,832,143.52,515.304,365.989
27,152,590,95.312,377.706,233.57,37,172,705,129.083,428.083,279.155
99,520,2035,102.84,381.83,246.038,125,613,2514,129.423,450.269,303.905
7,46,154,84.572,358.173,225.629,9,54,177,108.461,418.656,258.265
32,182,778,90.169,379.161,267.182,41,214,886,116.179,445.053,304.206
7,36,124,102.865,387.989,244.996,9,45,155,135.859,476.605,306.707
45,257,1149,92.526,396.962,281.516,65,316,1424,132.793,488.996,349.021
170,918,3248,79.951,326.151,220.264,210,1079,3897,99.051,383.53,264.286
15,89,239,58.648,235.067,156.347,19,95,251,72.845,251,163.951
4,27,88,93.419,378.949,210.951,6,32,108,125.23,434.223,258.376
51,304,1111,85.973,351.106,223.161,65,369,1335,108.985,426.354,268.203
41,266,950,79.527,375.618,219.71,58,313,1122,112.445,443.058,259.371
15,81,397,118.48,438.588,323.419,23,95,502,173.488,517.319,408.944
42,241,827,94.265,379.521,226.986,52,286,984,118.546,450.92,270.178
6,25,84,134.674,396.157,246.611,7,31,112,174.397,495.179,327.279
34,195,815,87.872,364.797,267.157,43,232,990,110.05,433.35,324.356
5,31,119,88.371,405.328,279.66,7,37,140,122.531,472.962,329.588
47,228,960,86.891,325.84,239.249,56,263,1080,104.222,375.392,268.96
22,120,505,93.78,380.127,272.787,30,142,610,127.994,448.1,329.539
207,1214,3667,64.748,277.171,157.252,245,1411,4391,76.829,322.235,188.273
35,196,715,89.41,357.086,222.59,46,237,868,117.438,432.315,270.081
24,125,495,81.466,344.268,210.483,31,144,592,106.04,395.674,251.844
6,35,140,83.207,346.65,239.574,8,40,171,110.183,399.457,292.937
2,28,94,61.829,283.58,234.353,2,34,107,77.904,343.769,266.826
91,605,2773,66.06,312.623,218.214,120,712,3306,86.616,368.249,260.112
71,336,1229,86.626,314.706,204.842,93,393,1590,113.371,368.449,265.111
7,41,168,71.37,309.345,191.225,10,47,181,97.845,348.549,206.176
12,57,221,90.181,328.225,231.427,15,67,258,110.744,386.931,269.977
79,500,1757,73.528,358.596,215.175,103,584,2150,96.357,419.268,263.247
46,266,1028,84.621,366.755,251.95,56,322,1202,104.396,443.538,294.528
26,127,452,106.038,367.563,232.465,31,155,522,128.889,448.656,268.336
21,117,433,90.552,365.882,245.806,28,149,524,118.86,466.577,297.346
40,194,867,117.61,424.714,310.745,50,232,1035,145.759,507.652,370.934
34,187,780,91.563,355.349,277.534,40,217,914,108.429,412.348,325.006
8,49,229,85.333,377.681,250.481,11,59,256,109.683,458.998,280.117
27,187,723,57.869,300.872,193.151,36,224,860,77.921,359.238,229.859
41,246,757,83.222,321.551,175.214,57,288,914,114.27,377.047,211.597
71,426,1667,86.184,390.915,261.933,91,498,1939,110.471,457.062,304.646
38,226,722,88.851,395.173,211.075,44,259,861,103.99,453.375,251.847
24,128,492,94.57,384.092,270.424,32,153,646,128.556,458.465,355.222
54,250,1030,113.167,382.522,269.33,70,307,1278,145.561,469.626,334.355
9,40,149,117.939,376.723,228.751,12,52,195,165.308,494.532,299.167
13,73,263,85.488,355.455,230.06,16,86,313,111.568,420.716,273.61
17,99,397,75.402,354.221,229.018,21,111,471,94.45,396.907,271.704
11,52,187,108.815,380.064,211.472,15,64,227,140.776,464.218,256.824
60,305,1326,83.451,351.54,229.203,77,349,1539,106.849,402.971,266.064
15,81,266,90.121,360.718,205.461,20,98,308,116.238,434.124,237.878
101,667,2676,67.601,298.235,211.514,133,777,3053,88.726,347.377,241.336
65,368,1461,86.016,364.89,239.391,82,425,1753,108.715,421.88,287.354
4,31,90,91.402,351.226,213.647,6,39,107,118.489,441.605,252.749
92,469,1971,97.547,382.58,265.043,118,573,2329,125.595,466.55,313.181
29,171,699,95.253,406.137,299.085,41,205,830,134.874,487.75,355.166
23,145,546,78.033,355.107,214.512,30,170,651,101.517,415.746,255.757
93,513,2020,94.929,365.439,241.616,119,613,2435,121.441,437.322,291.298
7,47,161,84.916,353.265,235.607,8,56,186,105.977,422.554,272.613
34,190,814,94.929,372.328,274.528,42,218,955,117.931,426.879,321.914
6,34,122,97.263,371.878,239.143,9,43,152,138.021,474.402,298.623
45,257,1119,90.373,380.233,272.145,64,322,1450,126.918,477.151,352.717
150,909,3282,66.743,316.461,216.095,198,1063,3907,88.411,370.28,257.24
16,85,205,60.879,233.242,133.56,18,88,237,66.954,244.004,154.984
5,26,90,102.242,359.587,214.387,6,33,108,138.601,460.105,257.52
41,278,1011,66.258,317.668,197.533,57,337,1288,92.179,385.478,251.694
48,269,958,91.012,368.569,219.046,59,323,1146,111.338,442.428,262.008
16,79,386,118.223,421.514,307.972,22,96,486,166.71,509.196,387.944
38,212,789,83.407,343.848,214.406,46,266,951,101.384,430.551,258.524
5,24,85,111.032,380.469,236.807,6,30,108,141.504,480.84,300.288
32,196,804,82.184,365.729,261.683,41,235,1010,107.653,437.098,328.727
5,31,112,75.695,381.266,258.816,6,37,137,103.003,465.602,317.151
35,231,913,64.38,325.964,223.93,43,265,1076,79.307,373.594,263.86
20,111,482,87.091,348.458,258.686,27,135,601,116.756,426.692,322.513
171,1194,3741,54.277,269.758,158.142,207,1377,4479,65.641,310.993,189.302
31,192,743,78.705,345.224,227.056,42,240,922,106.26,431.041,281.899
18,123,473,63.395,332.211,200.109,25,139,583,84.427,377.003,246.445
5,37,139,76.806,360.465,234.712,7,41,166,100.736,401.579,280.558
1,27,86,47.304,284.651,210.042,2,32,102,61.058,335.767,248.558
77,570,2758,55.543,290.897,213.492,100,683,3213,72.414,348.743,248.745
67,335,1279,81.188,308.577,210.578,85,394,1640,102.713,362.777,270.025
6,40,157,62.527,288.298,176.777,8,47,173,85.68,337.854,195.023
11,51,213,78.381,295.501,220.149,13,61,258,92.477,352.997,266.009
69,477,1832,65.371,342.457,222.963,90,557,2169,84.638,399.352,264.063
46,268,1126,85.968,366.629,274.109,59,326,1382,109.324,446.59,336.5
21,121,429,87.69,350.709,219.064,25,147,506,105.676,425.306,258.821
18,109,424,77.2,339.312,239.218,25,141,524,104.637,437.987,295.814
39,208,921,116.043,452.157,328.476,49,249,1086,144.989,540.731,387.61
30,187,810,80.444,357.119,284.954,37,217,977,99.63,413.246,343.869
8,48,228,84.12,367.966,247.777,10,57,259,100.917,440.435,281.754
26,190,715,56.946,302.607,188.736,35,228,878,75.33,362.92,231.708
36,218,791,73.776,283.283,181.043,54,263,1024,109.233,342.166,234.317
66,405,1680,81.419,369.122,262.873,88,487,1981,107.721,443.018,309.914
38,212,729,88.747,371.332,210.962,45,251,899,105.591,440.415,260.071
22,130,555,88.83,388.045,302.993,32,156,670,128.571,464.592,366.022
45,235,994,93.73,359.647,258.372,58,291,1232,122.839,443.919,320.163
8,43,154,110.461,400.991,234.709,11,53,195,154.722,496.819,296.814
11,67,255,76.218,325.072,220.986,14,83,301,98.398,401.484,261.303
15,100,415,70.044,353.627,235.868,20,112,478,91.046,395.966,272.032
9,49,172,86.869,350.2,193.716,11,60,225,109.26,428.602,252.592
48,287,1144,67.35,327.81,196.42,62,323,1345,87.146,368.082,230.764
14,79,283,85.447,350.677,217.498,19,97,327,113.115,429.796,250.664
85,692,2601,57.577,308.618,203.798,117,797,3060,79.541,355.343,239.825
56,349,1481,73.541,340.636,239.796,71,405,1755,93.369,395.465,284.125
4,33,105,89.213,360.332,242.923,6,41,123,113.005,452.024,286.17
80,465,2076,86.226,378.03,278.052,108,568,2424,115.669,461.789,324.642
26,163,739,83.897,384.63,313.387,38,198,848,123.346,468.287,359.398
20,132,549,68.439,321.84,212.983,26,160,677,89.134,390.392,262.887
85,500,2029,88.285,355.845,241.373,110,608,2515,113.969,432.307,299.195
6,44,144,77.173,333.298,210.476,8,54,190,99.749,404.949,276.988
34,193,861,93.985,375.65,286.468,44,225,1019,121.793,438.643,338.998
6,36,130,93.028,390.071,252.386,8,44,162,124.024,482.302,312.912
44,238,1171,87.009,348.367,282.25,58,294,1398,114.729,429.93,336.828
135,905,3181,59.601,309.975,205.446,183,1043,3826,80.895,357.214,247.106
15,84,253,56.351,231.98,161.766,17,91,308,62.388,251.006,197.049
4,26,89,94.612,357,211.231,6,35,113,134.53,475.587,267.32
39,269,1018,62.69,303.562,196.293,54,337,1295,86.848,380.512,249.554
41,243,882,77.283,329.781,198.771,50,291,1065,94.034,395.792,239.975
15,79,375,111.845,418.709,299.294,20,97,469,151.66,513.797,374.045
37,200,799,81.674,324.538,215.416,44,247,1003,96.307,399.91,270.465
4,24,91,99.508,375.794,249.705,6,31,116,134.391,488.426,318.652
24,181,840,62.492,337.433,271.374,34,226,1006,88.27,421.76,324.993
4,28,100,64.39,335.83,229.147,6,35,133,101.292,419.156,306.958
30,215,827,54.587,298.191,199.562,38,254,985,71.147,352.909,237.877
18,108,525,75.62,340.197,280.243,25,134,649,106.327,421.877,346.278
134,1152,3861,43.055,258.33,160.83,177,1301,4538,56.639,291.889,189.039
25,193,695,62.923,341.076,208.697,35,247,913,87.792,437.141,274.089
14,109,422,48.741,288.787,177.806,20,128,513,69.071,340.895,216.125
5,35,139,68.531,340.958,232.21,6,41,171,89.432,397.141,284.634
1,30,98,46.24,314.01,230.896,2,34,116,64.235,355.205,272.761
69,553,2708,49.498,280.369,206.218,101,680,3141,72.721,344.595,239.158
50,331,1370,60.477,300.912,222.526,69,404,1695,83.175,367.411,275.291
5,37,152,53.976,265.941,169.615,8,44,177,79.109,316.705,197.791
10,52,214,67.571,302.224,217.26,11,61,251,80.439,352.805,255.795
62,462,1902,58.868,331.289,230.377,79,541,2176,75.071,387.597,263.505
42,265,1085,77.226,361.295,262.486,56,331,1361,103.237,450.013,329.179
18,124,451,72.47,354.008,228.972,23,151,529,93.306,432.263,269.018
15,102,421,62.871,315.288,236.329,21,135,504,88.116,416.819,283.331
32,189,877,95.014,405.85,311.474,41,227,1009,120.128,489.384,358.468
30,180,753,80.975,344.143,262.234,40,210,927,107.494,402.194,323.128
7,43,215,72.312,334.299,233.243,9,55,247,90.191,423.635,267.524
23,177,699,50.465,279.629,182.051,30,222,835,66.358,351.342,217.558
27,214,804,55.696,276.011,181.97,39,264,998,78.875,340.317,225.705
58,379,1670,71.364,342.722,260.18,78,458,1932,96.541,413.521,300.977
30,203,732,70.418,354.666,209.354,38,248,916,88.56,433.281,262.295
20,132,590,81.063,392.857,320.565,30,159,700,122.683,471.339,380.651
41,252,1117,86.293,384.198,288.732,54,296,1325,114.1,452.25,342.392
6,40,162,79.32,364.663,244.045,9,51,203,119.574,468.949,306.306
10,63,260,67.851,304.644,223.846,14,84,303,91.662,406.061,260.168
13,94,447,60.457,329.967,249.717,18,108,501,83.046,379.613,280.334
7,47,173,70.61,335.301,193.871,10,59,222,94.465,419.157,247.821
36,252,990,51.152,284.35,168.643,48,293,1181,67.497,331.339,201.178
12,80,296,73.596,351.769,226.331,17,96,354,101.136,422.466,270.752
74,651,2577,50.982,290.165,200.161,105,771,3092,72.098,343.555,240.117
47,332,1475,61.815,319.119,235.883,61,395,1719,79.715,379.424,274.879
4,34,109,81.026,349.141,247.863,6,45,130,111.381,464.788,296.145
68,434,2054,73.496,350.83,274.017,94,540,2411,101.58,437.317,321.667
20,161,729,65.661,377.969,306.257,30,200,864,98.526,468.725,362.664
18,121,561,62.286,292.834,215.044,25,149,717,87.309,362.7,275
72,501,2024,76.139,358.298,239.553,102,608,2499,106.842,435.057,295.725
5,40,140,61.651,303.255,203.005,7,50,185,85.177,377.821,268.699
26,185,811,73.314,356.795,266.198,36,221,944,99.061,425.007,309.914
5,34,138,79.529,365.046,263.858,6,42,162,98.242,452.062,309.468
39,228,1093,76.225,329.002,260.96,52,280,1344,103.47,403.466,320.966
119,881,3196,51.742,297.034,202.591,161,1030,3854,70.24,347.372,244.275
15,87,291,53.967,235.96,182.429,16,95,345,59.499,259.383,216.224
4,26,87,81.122,351.266,204.732,5,33,110,111.373,450.701,258.623
38,284,1209,61.337,317.753,229.955,53,348,1469,85.857,389.848,279.497
35,226,882,66.395,306.774,196.026,44,278,1081,83.266,376.639,240.176
12,73,396,89.36,381.846,315.821,17,93,485,128.362,488.526,386.64
33,192,840,73.933,311.348,225.096,43,239,1063,95.918,386.886,284.744
4,24,93,93.682,370.63,251.721,5,31,120,119.711,486.124,325.567
22,184,839,56.585,343.214,269.293,32,232,1011,84.293,433.698,324.319
4,28,95,61.52,340.433,218.761,6,34,129,107.27,411.147,295.898
27,203,800,49.466,276.435,189.589,37,240,940,68.12,327.444,222.762
17,109,570,71.285,340.975,302.537,26,139,703,108.875,435.725,373.089
113,1073,3696,36.585,240.124,151.351,154,1235,4493,49.979,276.361,183.998
25,187,655,60.384,324.49,192.704,37,235,856,89.423,408.527,251.896
13,113,391,44.362,294.962,163.958,20,136,490,68.26,356.076,205.616
4,35,146,58.002,348.259,238.823,6,41,175,81.462,406.689,287.552
1,26,100,41.475,274.112,228.994,2,31,119,62.835,329.786,273.214
61,534,2869,44.16,269.673,214.344,92,653,3318,66.224,329.617,247.847
36,302,1352,42.716,272.156,216.598,58,398,1647,69.398,359.364,263.904
4,37,154,45.117,262.977,169.672,6,43,185,66.547,309.075,204.771
9,49,212,60.28,284.41,212.136,12,61,252,82.653,353.339,252.486
51,441,1866,49.628,316.313,224.885,69,513,2136,66.581,367.971,257.403
36,257,1059,65.891,346.687,254.198,49,320,1252,89.982,432.56,300.546
16,116,454,64.845,328.686,229.452,23,144,542,94.127,407.475,273.813
13,97,408,55.957,296.322,228.511,21,134,489,88.473,411.878,273.717
28,175,846,81.103,371.725,298.867,37,214,990,108.747,454.804,349.703
26,178,735,71.26,342.347,253.425,36,212,876,97.07,407.9,302.014
6,39,209,62.594,308.721,224.691,8,52,241,88.883,406.676,259.2
19,164,724,41.75,260.778,186.505,27,206,853,59.671,326.59,219.726
23,215,763,46.248,275.175,170.801,32,269,931,65.968,344.332,208.309
45,355,1627,56.796,318.356,252.306,65,440,1881,81.741,394.505,291.752
23,178,737,55.046,311.426,208.653,32,228,937,75.319,398.032,265.397
17,123,529,67.862,362.678,286.093,25,149,647,103.444,440.952,349.821
38,256,1117,80.779,389.626,286.896,50,304,1311,105.608,463.312,336.708
5,34,146,63.457,307.882,218.666,7,46,191,94.406,418.783,284.801
9,65,276,63.026,307.926,235.255,13,88,327,90.364,418.355,279.426
12,87,439,53.436,304.035,240.24,17,100,502,76.076,347.839,274.91
7,46,170,65.915,327.855,188.559,9,59,210,89.927,418.784,232.786
34,230,1073,47.961,257.715,181.562,50,280,1283,71.682,313.772,217.23
9,78,289,56.927,341.121,219.808,13,91,346,78.642,397.724,263.051
63,588,2642,43.405,262.497,203.409,85,698,3118,59.012,311.781,240.036
43,304,1408,55.402,288.339,222.096,57,377,1653,73.282,357.301,260.805
4,35,109,74.981,343.505,242.323,5,45,130,103.805,450.65,290.325
59,413,2041,64.334,334.233,270.885,86,525,2408,93.737,424.614,319.624
23,159,686,73.37,369.415,285.387,34,200,835,109.986,466.629,347.121
18,117,525,61.222,282.935,198.699,25,146,680,86.596,353.764,257.568
62,452,1923,65.872,327.185,226.375,86,558,2313,91.437,403.676,272.32
4,37,141,47.215,280.15,202.929,5,46,166,67.958,353.668,239.785
19,169,770,52.835,323.047,248.602,28,205,914,76.79,391.884,295.288
5,30,123,72.993,324.486,231.852,7,39,149,100.227,414.202,281.859
33,229,978,65.022,327.279,231.354,50,294,1254,98.631,419.293,296.774
100,862,3383,42.939,286.349,209.843,137,1024,3931,58.787,340.221,243.855
13,78,264,45.955,208.009,162.546,15,88,301,52.463,235.983,185.156
3,24,88,70.27,325.066,207.535,4,30,106,93.174,411.364,249.656
31,273,1240,49.884,304.092,233.075,48,336,1499,77.381,374.476,281.818
30,207,923,55.696,279.28,202.113,41,256,1113,77.019,345.527,243.666
11,77,393,80.986,403.558,313.918,16,96,472,124.566,506.251,377.092
32,195,849,70.878,313.372,226.301,42,243,1051,92.957,391.153,280.128
4,21,93,86.425,335.402,249.372,5,28,118,108.671,441.672,317.921
20,180,781,53.381,339.95,248.888,30,224,979,77.816,422.686,312.065
4,29,110,60.157,353.752,250.907,6,35,142,98.73,426.085,322.989
23,188,866,41.476,253.254,201.008,34,232,995,61.769,312.252,230.886
15,103,563,63.532,322.822,297.277,23,132,679,96.738,415.037,358.269
94,976,3730,30.874,219.032,150.002,131,1152,4526,42.95,258.395,182.006
20,174,688,48.413,296.467,198.032,29,214,873,70.236,363.872,251.236
13,117,407,45.009,303.937,170.269,18,138,513,63.95,357.069,214.745
3,31,143,48.467,314.796,229.538,5,37,166,67.745,372.006,267.631
1,22,90,30.188,238.599,202.1,2,29,111,50.089,307.538,248.835
50,470,2707,35.58,236.595,197.547,72,590,3206,51.683,297.492,233.955
32,297,1363,37.559,266.133,214.963,52,393,1716,61.035,352.141,270.651
3,34,154,31.294,239.805,167.918,5,40,177,50.89,282.218,193.068
7,42,188,50.436,239.91,184.472,10,55,229,71.535,316.633,225.001
45,400,1751,43.968,287.961,210.236,61,476,2034,59.288,342.719,244.282
36,261,1121,67.39,351.32,267.486,49,317,1322,90.462,426.455,315.539
15,103,434,59.911,287.536,217.931,22,133,543,91.153,372.467,273.023
11,81,355,47.684,247.453,197.476,18,114,451,77.492,346.025,251.411
26,176,851,77.673,372.283,298.889,35,211,1015,104.048,445.815,356.562
21,173,813,58.165,336.042,277.791,29,205,949,79.214,399.291,324.139
6,37,195,61.204,295.317,209.514,8,48,226,84.307,382.577,241.81
18,161,775,39.288,257.071,197.601,28,213,950,60.505,339.822,242.121
20,204,741,41.13,259.091,164.041,29,253,921,59.755,320.609,203.84
41,321,1508,51.667,288.295,232.735,60,422,1798,75.674,378.62,277.427
20,153,716,46.926,268.054,200.915,28,203,921,66.849,355.518,258.576
14,105,500,55.886,311.992,268.825,22,130,624,89.174,386.248,335.574
33,234,999,69.483,356.662,254.947,44,290,1220,92.765,442.177,311.356
5,32,133,62.887,287.814,196.132,7,45,183,94.976,407.026,271.357
8,59,272,51.03,279.2,230.442,11,80,330,74.709,376.885,279.699
10,79,417,43.961,275.057,222.872,15,94,480,69.409,327.173,256.535
6,43,177,59.182,304.653,194.945,8,56,221,84.044,395.757,244.178
25,221,1012,35.147,247.073,170.221,37,277,1249,53.265,309.476,210.029
7,68,274,41.101,300.946,206.805,10,81,324,62.592,354.704,244.64
59,562,2653,41.316,252.388,202.646,81,657,3142,57.048,294.664,240.011
34,312,1404,43.466,293.721,218.471,46,380,1701,59.645,357.735,264.565
4,32,111,73.146,312.69,241.709,5,44,137,98.313,423.769,299.801
55,414,1986,59.799,337.15,262.237,72,523,2342,78.599,425.396,309.258
19,147,643,61.788,340.308,264.783,32,184,802,102.236,427.086,330.55
15,112,483,52.517,269.944,179.875,20,142,602,70.099,341.597,224.112
47,404,1885,50.283,295.759,220.681,68,512,2296,72.357,375.396,268.878
3,35,135,43.763,273.144,192.715,4,45,163,58.551,345.84,232.852
17,177,752,46.926,340.503,238.339,26,211,914,71.113,405.577,289.771
4,31,119,66.289,326.88,222.307,6,39,150,91.985,415.507,279.993
27,213,1007,53.187,303.302,235.679,40,279,1252,78.505,397.49,293.13
92,805,3298,39.073,263.356,199.852,136,952,3982,57.387,311.44,241.336
10,64,239,33.364,169.883,144.267,11,74,273,37.042,196.262,164.898
3,25,92,61.974,335.501,215.787,4,31,114,81.34,423.842,267.833
24,252,1111,39.203,281.212,206.531,38,308,1381,60.57,343.708,256.82
22,177,839,41.018,237.332,180.43,34,231,1045,63.21,310.013,224.63
11,76,380,82.868,401.04,304.13,16,96,475,125.5,508.384,379.313
26,182,789,59.036,291.342,209.293,36,226,967,79.622,361.438,256.406
3,20,93,77.649,312.356,249.972,5,27,118,105.881,421.045,315.272
18,144,758,48.292,275.115,239.802,29,190,951,76.493,362.565,300.868
4,24,107,72.025,304.625,241.928,6,30,137,96.831,379.481,307.797
16,178,830,29.416,238.109,188.694,24,225,981,43.51,301.91,222.896
13,95,530,53.021,298.995,277.883,18,117,639,74.035,366.4,334.988
81,850,3736,26.552,193.156,148.353,119,1017,4405,39.101,231.028,174.895
14,153,599,34.394,256.163,168.588,20,196,751,46.358,328.346,211.56
10,106,432,35.394,274.309,180.964,15,131,533,54.01,338.524,223.346
2,23,127,32.198,235.334,200.656,3,29,148,46.847,298.613,233.744
1,20,85,20.486,217.204,187.865,1,26,102,43.473,282.797,224.573
41,401,2450,29.252,203.587,174.62,62,520,3000,44.438,263.748,213.868
32,280,1347,37.265,251.465,209.069,50,351,1682,58.163,315.62,261.012
3,31,138,29.758,228.622,149.166,4,35,173,40.449,257.261,187.164
7,43,184,44.867,246.562,177.134,8,55,223,57.032,312.314,214.997
40,363,1606,39.307,264.58,192.764,61,433,1945,60.395,315.319,233.473
30,210,1013,56.049,283.22,240.594,42,278,1259,77.292,373.545,298.909
11,107,443,46.048,296.568,221.393,16,136,570,65.406,379.422,284.8
9,78,359,39.098,237.511,199.03,14,106,464,58.605,322.24,257.148
22,168,849,65.092,357.431,296.273,33,205,1023,96.075,434.255,357.08
21,150,818,56.508,298.238,276.7,29,180,961,79.404,357.36,325.173
6,36,189,62.917,285.167,201.52,8,44,227,83.231,351.706,242.552
16,149,729,34.589,240.548,184.424,25,197,884,55.709,319.506,223.792
15,188,772,30.049,237.555,169.468,23,246,925,47.857,310.252,202.986
36,298,1522,45.768,268.63,233.721,52,377,1820,66.348,340.038,279.572
18,146,690,41.943,254.654,192.119,24,194,865,56.295,338.185,241.1
12,93,484,50.809,282.341,258.764,20,116,615,81.127,350.118,328.817
28,200,936,60.594,306.104,237.37,40,254,1200,84.529,389.099,304.581
5,31,146,70.773,277.007,213.612,8,43,200,101.302,388.974,292.173
6,56,267,39.33,262.818,225.153,8,72,329,52.007,338.941,276.89
8,66,406,34.29,230.253,211.724,12,82,476,55.065,285.572,248.1
5,39,176,50.367,274.574,193.482,7,51,222,69.702,360.203,243.065
20,224,950,29.02,250.537,159.324,32,270,1152,46.377,302.661,193.072
5,64,279,29.47,288.043,210.066,8,77,345,48.145,345.022,259.329
44,488,2498,31.402,222.225,189.993,69,621,3005,48.913,282.597,228.478
29,299,1455,37.429,284.049,222.692,46,377,1752,58.872,357.89,268.208
3,27,105,59.605,266.366,226.242,4,39,136,75.114,383.674,293.297
45,378,1893,49.31,309.795,248.93,63,477,2343,69.403,390.705,308.077
15,123,647,47.806,287.386,264.366,23,152,813,73.122,354.977,331.881
13,114,501,43.313,273.369,182.877,18,144,623,61.78,344.115,227.333
36,377,1915,39.052,280.567,223.376,59,486,2378,63.557,361.733,277.441
3,32,139,36.919,249.164,197.927,5,43,171,61.657,336.152,243.387
18,155,753,49.139,301.333,234.009,27,201,920,73.677,389.747,285.679
5,29,130,71.731,316.669,241.362,5,37,161,83.183,395.843,298.046
26,205,1140,50.713,293.165,263.635,38,255,1389,74.751,363.972,321.344
70,736,3347,29.023,238.648,198.71,106,890,4162,44.247,288.599,247.093
8,72,239,28.484,186.263,140.928,10,82,275,33.568,213,162.178
3,27,92,62.316,356.264,216.185,4,33,116,85.896,439.029,271.591
24,237,1094,37.702,267.248,201.549,35,287,1331,56.299,322.95,245.185
19,172,766,36.086,230.803,161.199,29,222,953,53.792,297.884,200.494
10,66,389,78.42,357.963,311.439,16,82,499,123.782,443.288,400.093
19,152,825,43.284,243.401,217.858,28,202,1007,62.072,321.776,265.83
3,18,84,58.849,293.553,223.409,4,25,109,80.886,402.128,291.119
18,132,805,47.966,255.984,253.226,30,182,1014,78.957,352.822,319.087
4,21,91,59.759,275.728,201.054,5,26,125,86.86,347.734,276.653
13,164,803,23.348,219.176,178.765,20,209,998,36.046,279.87,222.217
12,87,512,48.571,273.776,266.367,18,107,635,75.174,339.021,330.132
63,737,3584,20.833,170.416,140.573,105,889,4339,34.507,205.616,170.224
14,151,571,32.224,255.144,157.228,20,190,727,46.646,320.308,200.306
7,92,416,24.875,237.063,173.825,11,123,516,41.324,316.775,215.187
2,21,126,25.583,216.92,195.649,3,26,146,40.169,277.387,227.974
1,20,89,17.785,224.151,191.175,1,26,111,37.051,287.693,238.631
39,374,2543,27.595,190.764,177.171,65,500,3066,46.207,255.068,213.607
30,258,1324,34.32,232.922,201.98,47,337,1668,54.548,304.583,254.512
3,29,126,26.269,229.506,134.535,3,32,163,34.122,251.449,174.022
